ExpertRole,KoSch M2.5,Pixel / Android 17,Nova 8 / 8.1 Beta,Niagara 1.x,Smart Launcher 6.6,Microsoft Launcher,Lawnchair 15 Beta 3
Android Launcher Architect,8.0,8.4,6.9,6.8,7.1,7.4,6.9
Android Framework Engineer,8.1,8.3,6.6,6.6,6.7,7.2,6.6
Jetpack Compose Engineer,8.1,8.4,6.9,6.8,7.0,7.3,6.9
Mobile UX Director,8.2,8.5,7.0,6.9,7.1,7.4,6.9
Visual Design Lead,8.2,8.4,6.9,6.8,7.0,7.4,6.9
Interaction Designer,8.1,8.5,7.1,6.9,7.2,7.5,7.0
Accessibility Auditor,7.9,8.4,6.8,6.7,6.9,7.3,6.8
Privacy Engineer,8.2,8.4,7.0,6.9,7.0,7.5,7.0
Mobile Security Engineer,8.1,8.4,6.9,6.9,6.9,7.4,6.9
Applied AI Architect,8.1,8.3,6.7,6.7,6.7,7.2,6.8
On-device ML Engineer,8.0,8.3,6.8,6.7,6.7,7.2,6.8
LLM Safety Researcher,8.1,8.3,6.8,6.8,6.9,7.4,6.9
Open-source Compliance Counsel,8.2,8.4,6.9,6.8,7.0,7.5,6.9
Product Manager,8.2,8.4,7.1,6.8,7.2,7.4,6.9
Android Power User,8.2,8.4,6.9,6.8,6.9,7.4,6.8
Accessibility User Advocate,7.9,8.4,6.9,6.8,7.0,7.4,6.8
SAF and File Systems Expert,8.1,8.3,6.7,6.6,6.7,7.2,6.7
Telephony Integration Engineer,8.1,8.3,6.7,6.6,6.7,7.3,6.6
Widget and Shortcut Expert,8.0,8.4,7.0,6.8,7.1,7.4,6.9
Mobile Performance Engineer,7.9,8.3,6.8,6.6,6.9,7.3,6.8
Battery and Thermal Engineer,8.0,8.3,6.8,6.6,6.9,7.3,6.8
QA Automation Lead,7.9,8.3,6.8,6.6,6.9,7.3,6.8
Reliability/SRE Engineer,7.9,8.3,6.8,6.6,6.9,7.3,6.8
Google Play Policy Reviewer,8.1,8.4,6.9,6.9,6.9,7.4,6.9
Competitive Product Analyst,8.1,8.4,7.1,6.8,7.2,7.4,6.9
