ExpertRole,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,Overall
Android Launcher Architect,8.5,8.6,8.3,8.5,8.5,6.9,7.6,7.1,8.2,7.3,8.0,8.1,7.6,8.0,7.9,7.1,8.0,7.8,7.3,6.9,5.9,6.1,6.0,8.4,9.1,7.8,6.8,9.1,7.9,9.1,5.7,9.4,9.4,8.3,1.2,8.3,8.8,6.8,7.7,9.0,9.2,9.6,6.6,8.8,6.6,9.1,8.3,7.2,8.7,4.1,8.1,5.2,6.0,7.9,9.4,3.9,9.2,5.4,7.9,8.4,8.5,8.4,8.9,7.1,9.2,9.0,8.8,9.1,9.2,8.7,8.4,8.9,7.9,8.9,8.7,8.7,8.9,8.5,8.5,9.1,8.2,8.8,8.8,9.2,7.7,9.1,7.9,8.7,7.8,9.1,8.5,8.3,8.9,8.6,9.2,8.8,8.7,8.5,8.9,9.1,8.0
Android Framework Engineer,8.7,8.3,8.5,8.2,8.7,7.1,7.3,7.3,7.9,7.5,8.4,8.0,8.0,7.9,8.3,7.5,7.9,8.2,7.2,7.3,6.3,6.0,6.4,8.3,9.5,7.8,6.3,9.1,7.4,9.1,5.7,9.1,9.6,8.0,1.4,8.5,8.5,7.0,7.4,9.2,9.4,9.3,6.8,8.5,6.8,9.3,8.0,7.4,8.4,4.3,8.3,4.9,6.2,7.6,9.6,4.1,8.9,5.6,7.6,8.6,8.5,8.4,8.9,7.1,9.2,9.0,8.8,9.1,9.2,8.7,8.4,8.9,7.9,8.9,8.7,8.5,8.9,8.7,8.5,9.1,8.4,8.8,8.8,9.2,7.7,9.1,8.1,8.7,7.8,9.1,8.7,8.5,8.9,8.6,9.2,8.8,8.7,8.5,8.7,9.1,8.1
Jetpack Compose Engineer,8.7,8.3,8.0,8.2,8.2,7.1,7.3,6.8,7.9,7.0,8.6,8.2,7.7,8.1,8.0,7.7,8.1,7.9,7.4,7.0,6.5,6.2,6.1,8.5,9.2,8.2,6.7,9.0,7.8,9.0,6.1,9.3,9.3,8.2,1.1,8.7,8.7,6.7,7.6,8.9,9.6,9.5,6.5,8.7,6.5,9.5,8.2,7.1,8.6,4.0,8.5,5.1,5.9,7.8,9.3,4.1,9.1,5.3,7.8,8.3,8.6,8.5,9.0,7.2,9.3,9.1,8.9,9.2,9.3,8.8,8.5,9.0,8.0,9.0,8.8,8.6,9.0,8.8,8.6,9.2,8.5,9.1,9.1,9.3,7.8,9.4,8.2,9.0,7.7,9.2,8.8,8.6,9.2,8.9,9.3,9.1,9.0,8.8,8.8,9.2,8.1
Mobile UX Director,8.5,8.6,8.3,8.0,8.5,6.9,7.6,7.1,7.7,7.3,8.4,8.5,8.0,7.9,8.3,7.5,8.4,8.2,7.2,7.3,6.3,6.5,6.4,8.3,9.5,8.0,7.0,9.3,7.6,9.3,5.9,9.6,9.6,8.0,1.4,8.5,9.0,7.0,7.4,9.2,9.4,9.8,6.8,8.5,6.8,9.3,8.7,7.6,8.6,4.5,8.5,5.6,6.4,7.8,9.6,3.9,9.2,5.4,7.4,8.8,8.7,8.6,9.1,7.3,9.4,9.2,9.0,9.3,9.4,8.9,8.6,9.1,8.1,9.1,8.9,8.9,9.1,8.9,8.7,9.3,8.6,9.2,9.2,9.4,7.9,9.5,8.3,9.1,7.8,9.1,8.9,8.7,9.3,9.0,9.4,9.2,9.1,8.9,9.1,9.1,8.2
Visual Design Lead,8.7,8.3,8.5,8.2,8.2,7.1,7.3,7.3,7.9,7.0,8.6,8.2,8.2,8.1,8.0,7.7,8.1,8.4,7.4,7.0,6.5,6.2,6.6,8.5,9.2,8.2,6.7,9.5,7.8,9.0,6.1,9.3,9.8,8.2,1.1,8.7,8.7,7.2,7.6,8.9,9.6,9.5,7.0,8.7,6.5,9.5,8.4,7.8,8.8,4.2,8.7,5.3,6.6,8.0,9.3,4.1,9.1,5.8,7.8,8.5,8.6,8.5,9.0,7.2,9.3,9.1,8.9,9.2,9.3,8.8,8.5,9.0,8.0,9.0,8.8,8.8,9.0,8.8,8.6,9.2,8.5,9.1,9.1,9.3,7.8,9.4,8.2,9.0,7.7,9.2,8.8,8.6,9.2,8.9,9.3,9.1,9.0,8.8,9.0,9.2,8.2
Interaction Designer,8.3,8.4,8.1,8.3,8.3,6.7,7.4,6.9,8.0,7.1,8.0,8.1,7.6,8.0,7.9,7.1,8.0,7.8,7.3,6.9,5.9,6.1,6.0,8.4,9.1,7.8,6.8,9.1,7.9,9.1,5.7,9.4,9.4,8.3,1.2,8.3,8.8,6.8,7.7,9.0,9.2,9.6,6.6,8.8,6.6,9.1,8.5,7.4,8.9,4.3,8.3,5.4,6.2,8.1,9.4,3.7,9.2,5.4,7.9,8.6,8.7,8.6,9.1,7.3,9.4,9.2,9.0,9.3,9.4,8.9,8.6,9.1,8.1,9.1,8.9,8.9,9.1,8.7,8.7,9.3,8.4,9.2,9.2,9.4,7.9,9.5,8.1,9.1,7.8,9.3,8.7,8.5,9.3,9.0,9.4,9.2,9.1,8.9,9.1,9.3,8.1
Accessibility Auditor,8.3,7.9,8.1,7.8,8.3,6.7,6.9,6.9,7.5,7.1,8.2,7.8,7.8,7.7,8.1,7.3,7.7,8.0,7.0,7.1,6.1,5.8,6.2,8.1,9.3,7.8,6.3,9.1,7.4,9.1,5.7,8.9,9.4,7.8,1.2,8.3,8.3,6.8,7.2,9.0,9.2,9.1,6.6,8.3,6.6,9.1,8.0,7.4,8.4,4.3,8.3,4.9,6.2,7.6,9.4,3.7,8.7,5.4,7.4,8.6,8.3,8.2,8.7,6.9,9.0,8.8,8.6,8.9,9.0,8.5,8.2,8.7,7.7,8.7,8.5,8.5,8.7,8.5,8.3,8.9,8.2,8.8,8.8,9.0,7.5,9.1,7.9,8.7,7.4,8.9,8.5,8.3,8.9,8.6,9.0,8.8,8.7,8.5,8.7,8.9,7.9
Privacy Engineer,8.9,8.5,8.2,8.4,8.4,7.3,7.5,7.0,8.1,7.2,8.6,8.2,7.7,8.1,8.0,7.7,8.1,7.9,7.4,7.0,6.5,6.2,6.1,8.5,9.2,8.2,6.7,9.0,7.8,9.0,6.1,9.3,9.3,8.2,1.1,8.7,8.7,6.7,7.6,8.9,9.4,9.3,6.3,8.5,6.3,9.3,8.4,7.3,8.8,4.2,8.7,5.3,6.1,8.0,9.1,4.3,9.1,5.3,7.8,8.5,8.8,8.7,9.2,7.4,9.5,9.3,9.1,9.4,9.5,9.0,8.7,9.2,8.2,9.2,9.0,9.0,9.0,9.0,8.8,9.2,8.7,9.3,9.3,9.3,8.0,9.6,8.4,9.2,8.1,9.4,9.0,8.8,9.4,9.1,9.3,9.3,9.2,9.0,9.2,9.4,8.2
Mobile Security Engineer,8.5,8.6,8.3,8.0,8.5,6.9,7.6,7.1,7.7,7.3,8.2,8.3,7.8,7.7,8.1,7.3,8.2,8.0,7.0,7.1,6.1,6.3,6.2,8.1,9.3,7.8,6.8,9.1,7.4,9.1,5.7,9.4,9.4,7.8,1.2,8.3,8.8,6.8,7.2,9.0,9.0,9.4,6.4,8.1,6.4,8.9,8.5,7.4,8.4,4.3,8.3,5.4,6.2,7.6,9.2,3.9,9.2,5.4,7.4,8.6,8.7,8.6,9.1,7.3,9.4,9.2,9.0,9.3,9.4,8.9,8.6,9.1,8.1,9.1,8.9,8.7,8.9,8.9,8.7,9.1,8.6,9.2,9.2,9.2,7.9,9.5,8.3,9.1,8.0,9.3,8.9,8.7,9.3,9.0,9.2,9.2,9.1,8.9,8.9,9.3,8.1
Applied AI Architect,8.8,8.4,8.6,8.3,8.3,7.2,7.4,7.4,8.0,7.1,8.5,8.1,8.1,8.0,7.9,7.6,8.0,8.3,7.3,6.9,6.4,6.1,6.5,8.4,9.1,8.1,6.6,9.4,7.7,8.9,6.0,9.0,9.5,7.9,0.8,8.4,8.4,6.9,7.3,8.6,9.5,9.4,6.9,8.6,6.4,9.4,8.3,7.7,8.7,4.1,8.6,5.2,6.5,7.9,9.2,4.2,9.0,5.7,7.7,8.4,8.5,8.4,8.9,7.1,9.2,9.0,8.8,9.1,9.2,8.7,8.4,8.9,7.9,8.9,8.7,8.7,8.9,8.7,8.3,9.1,8.4,9.0,9.0,9.2,7.5,9.3,8.1,8.9,7.8,9.1,8.7,8.5,9.1,8.8,9.2,9.0,8.9,8.7,8.9,9.1,8.1
