ID,Category,Area,"KoSch M2.1","Pixel / Android 16","Nova 8 / 8.1 Beta","Niagara 1.x","Smart Launcher 6.6","Microsoft Launcher","Lawnchair 15 Beta 3",Leader,KoSch_gap_to_leader
C01,"Erster visueller Eindruck",UX,8.1,8.6,8.1,9.3,8.8,8.0,8.3,"Niagara 1.x",1.2
C02,"Onboarding-Qualität",UX,8.2,8.2,7.7,8.0,8.0,8.1,7.0,"KoSch M2.1 / Pixel / Android 16",0.0
C03,"Time-to-Value",UX,8.0,9.3,8.4,9.0,8.6,7.5,8.5,"Pixel / Android 16",1.3
C04,"Interaktionsklarheit",UX,7.4,9.0,8.2,9.2,8.5,8.0,8.0,"Niagara 1.x",1.8
C05,"Visuelle Kohärenz",UX,7.8,9.4,8.2,9.5,9.0,8.5,8.6,"Niagara 1.x",1.7
C06,"Kleine Displays",UX,5.8,9.1,8.5,9.3,8.8,8.0,8.7,"Niagara 1.x",3.5
C07,"Tablet/Foldable/Landscape",UX,4.9,8.3,7.8,7.0,8.2,7.5,8.0,"Pixel / Android 16",3.4
C08,"Semantische Accessibility",UX,5.6,9.1,7.8,8.5,8.0,8.2,7.5,"Pixel / Android 16",3.5
C09,"Kontrast und Lesbarkeit",UX,7.4,9.3,8.4,9.0,8.8,8.5,8.5,"Pixel / Android 16",1.9
C10,"Reduced Motion und Bewegung",UX,7.3,9.0,8.2,8.8,8.3,8.0,8.0,"Pixel / Android 16",1.7
C11,"App-Entdeckung",Launcher,7.6,8.8,9.0,9.4,9.1,8.5,9.0,"Niagara 1.x",1.8
C12,"App-Start-Zuverlässigkeit",Launcher,7.8,9.7,9.2,9.3,9.2,9.0,8.2,"Pixel / Android 16",1.9
C13,"Suchrelevanz",Launcher,7.2,9.2,8.7,9.0,9.0,8.0,8.7,"Pixel / Android 16",2.0
C14,"Smart Collections",Launcher,7.6,6.8,9.0,8.2,9.7,8.5,8.0,"Smart Launcher 6.6",2.1
C15,"Zuletzt verwendet",Launcher,7.2,8.7,8.6,8.8,8.7,9.0,8.5,"Microsoft Launcher",1.8
C16,"Workspace-Anpassung",Launcher,7.2,6.8,9.6,7.0,9.2,8.5,9.5,"Nova 8 / 8.1 Beta",2.4
C17,"Ordner",Launcher,6.4,7.6,9.3,9.2,9.1,8.8,8.8,"Nova 8 / 8.1 Beta",2.9
C18,"Mehrere Seiten und Dock",Launcher,6.6,8.7,9.5,5.2,9.3,8.8,9.0,"Nova 8 / 8.1 Beta",2.9
C19,"App-Shortcuts",Launcher,7.1,9.5,9.2,9.0,9.0,8.0,9.0,"Pixel / Android 16",2.4
C20,"Widget Hosting",Launcher,6.2,9.1,9.2,9.2,9.3,8.5,9.0,"Smart Launcher 6.6",3.1
C21,"Widget Resize/Restore/Undo",Launcher,4.2,8.8,9.0,8.8,8.8,8.0,8.5,"Nova 8 / 8.1 Beta",4.8
C22,"Notification Dots/Badges",Launcher,6.3,9.2,8.8,9.2,8.7,8.0,3.0,"Pixel / Android 16 / Niagara 1.x",2.9
C23,"Wallpaper- und Theme-System",Launcher,4.3,8.7,9.6,8.0,9.0,8.2,9.4,"Nova 8 / 8.1 Beta",5.3
C24,"Backup und Migration",Launcher,4.7,8.7,9.4,8.0,9.0,9.0,7.5,"Nova 8 / 8.1 Beta",4.7
C25,"Sicherer Launcher-Wechsel",Launcher,8.9,8.2,7.5,7.2,7.3,7.5,7.5,"KoSch M2.1",0.0
C26,"Telefon-Einstieg",System,7.5,7.0,4.0,3.5,3.5,6.5,3.0,"KoSch M2.1",0.0
C27,"Kontakte-Integration",System,1.2,6.5,1.0,1.0,1.0,8.0,1.0,"Microsoft Launcher",6.8
C28,"Sichere Dateiauswahl",System,9.0,7.5,3.0,2.5,2.5,8.0,2.0,"KoSch M2.1",0.0
C29,"Nutzen der Datei-Intelligenz",System,5.6,4.0,1.0,1.0,1.0,3.0,1.0,"KoSch M2.1",0.0
C30,"System-Kontrollzentrum",System,7.6,7.8,4.5,3.5,4.0,5.0,3.0,"Pixel / Android 16",0.2
C31,"Spracheingabe",System,5.5,8.4,5.0,4.5,4.5,5.5,3.5,"Pixel / Android 16",2.9
C32,"Offline-Kern",AI,9.3,7.8,7.5,8.2,8.0,5.0,9.0,"KoSch M2.1",0.0
C33,"Ohne Konto oder API",AI,9.5,7.2,7.0,8.0,7.5,6.0,9.5,"KoSch M2.1 / Lawnchair 15 Beta 3",0.0
C34,"Lokale Open-Source-Auswahl",AI,8.2,3.0,2.5,2.0,2.0,2.0,9.5,"Lawnchair 15 Beta 3",1.3
C35,"Integriertes generatives Modell",AI,1.3,3.5,2.0,1.0,1.5,3.5,1.0,"Pixel / Android 16 / Microsoft Launcher",2.2
C36,"KI-Befehlsabdeckung",AI,6.6,6.0,6.0,4.5,6.5,5.5,3.0,"KoSch M2.1",0.0
C37,"Grounding von KI-Aktionen",AI,8.1,8.0,6.8,7.5,6.0,7.0,8.0,"KoSch M2.1",0.0
C38,"Kontextbewusstsein",AI,6.4,8.6,7.0,7.8,7.0,8.8,6.0,"Microsoft Launcher",2.4
C39,"Lernen und Personalisierung",AI,3.2,7.7,7.5,7.0,8.0,8.5,6.0,"Microsoft Launcher",5.3
C40,"Halluzinationsbegrenzung",AI,8.8,7.8,7.0,8.3,8.0,7.0,9.0,"Lawnchair 15 Beta 3",0.2
C41,"Datenminimierung",Security,9.0,7.0,6.5,6.8,6.5,5.5,8.5,"KoSch M2.1",0.0
C42,"Berechtigungsminimierung",Security,8.8,8.6,7.5,7.2,7.5,6.0,8.0,"KoSch M2.1",0.0
C43,"Secret-Vault-Grundlage",Security,6.8,8.8,7.0,6.5,7.0,8.5,7.0,"Pixel / Android 16",2.0
C44,"Netzwerksicherheit",Security,8.7,9.2,8.0,8.0,8.0,8.5,8.0,"Pixel / Android 16",0.5
C45,"Prompt-Injection-Abwehr",Security,4.5,7.7,6.0,7.0,6.5,6.0,9.0,"Lawnchair 15 Beta 3",4.5
C46,"Schutz vor destruktiven Aktionen",Security,8.9,9.0,8.0,8.2,8.0,8.0,8.5,"Pixel / Android 16",0.1
C47,"Architektur und Modularität",Engineering,7.4,9.6,8.8,8.5,8.5,8.5,8.0,"Pixel / Android 16",2.2
C48,"Testabdeckung",Engineering,5.7,9.5,8.5,8.0,8.0,8.5,7.0,"Pixel / Android 16",3.8
C49,"Build-Reproduzierbarkeit",Engineering,8.0,4.0,3.5,3.5,3.5,3.0,9.4,"Lawnchair 15 Beta 3",1.4
C50,"Gemessene Laufzeitperformance",Engineering,3.8,9.6,8.8,9.0,8.7,8.3,7.5,"Pixel / Android 16",5.8
